Name,UserID,Area_Of_Expertise_1,Area_Of_Expertise_2,Area_Of_Expertise_3,Area_Of_Expertise_4,Area_Of_Expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Satoshi Tanaka,kHAuG30AAAAJ,Visualization,Digital Humanities,Monte Carlo Simulation,,,,,,,,,,,,,,192,365,589,730,957,1364,1646,1804,2034,3001,3872,4289
Lev Manovich,QP5JHg_7o_cC,digital culture,media theory,digital humanities,digital art,cultural analytics,,,,,,,,,,,,186,292,406,505,615,772,939,1009,1200,1462,1805,2078
David De Roure,ETrbpjsAAAAJ,Digital Humanities,Computational Musicology,Internet of Things,Cybersecurity,e-Science,,,,,,,80,101,111,171,188,284,455,566,725,850,778,838,1009,971,1031,1066,1110
Gerik Scheuermann,FXZzosEAAAAJ,Visualization,Visual Analytics,Topology,Cliffordalgebra,Digital Humanities,,,,,,,,,,,,56,117,136,169,196,279,297,316,313,405,441,395
Graeme Hirst,VGdVdjwAAAAJ,Computational Linguistics,Natural Language Processing,Digital Humanities,,,88,123,167,156,154,131,160,195,167,180,144,189,281,344,444,517,566,626,646,797,675,811,811
Shlomo Engelson Argamon,mjsJxhQAAAAJ,Artificial intelligence,machine learning,computational linguistics,digital humanities,authorship analysis,,,,,,39,42,49,51,78,75,86,88,128,164,210,258,325,366,448,499,586,722
David Mimno,uBFV6SUAAAAJ,Machine Learning,Text Mining,Topic Modeling,Digital Humanities,,,,,,,,,,,,,,,,,,32,62,98,164,250,344,427
Antal van den Bosch,LCuzJyYAAAAJ,Computational Linguistics,Digital Humanities,Artificial Intelligence,Machine Learning,Text Analytics,,,,,,35,69,93,127,203,156,210,196,273,308,376,382,351,446,473,371,402,398
Katrien Verbert,t5cgwVAAAAAJ,Explainable AI,interactive recommender systems,human-computer interaction,visual analytics,digital humanities,,,,,,,,,,,,,,,52,69,42,87,76,123,151,215,330
Frederic Kaplan,pZEf29QAAAAJ,Digital Humanities,,,,,,,,,,,,,23,59,46,111,104,120,296,204,259,289,349,345,386,353,471
Erik Tjong Kim Sang,3_FPFgMAAAAJ,Computational Linguistics,Digital Humanities,Machine Learning,,,,,,,,,,,,32,65,118,122,136,221,234,258,273,280,296,240,312,322
Walter Scheirer,dlV-qnUAAAAJ,Artificial Intelligence,Computer Vision,Machine Learning,Digital Humanities,,,,,,,,,,,,,,,,,,,34,61,102,105,128,249
Jaap Kamps,bWlQ2uEAAAAJ,Information Retrieval,Natural Language Processing,Artificial Intelligence,Digital Humanities,New Media,,,,,,,,,,,,31,42,79,169,246,255,214,349,420,475,439,416
Robert Godwin-Jones,W21O9OkAAAAJ,applied linguistics,language learning and technology,intercultural communication,digital humanities,,,,,,,,,,,,,20,22,43,78,96,140,156,238,232,273,295,389
Jason Mittell,I2Zb3TsAAAAJ,Media Studies,Television Studies,Film Studies,Narrative Theory,Digital Humanities,,,,,,,,,,,,,,,26,38,60,85,118,120,204,280,392
David A. Smith,T8k2etUAAAAJ,natural language processing,computational linguistics,information retrieval,machine translation,digital humanities,44,38,53,40,44,49,65,68,62,78,90,77,115,91,170,185,209,212,232,285,314,387,367
Amardeep Singh,VLcv-IIAAAAJ,Postcolonial literature,Film,Digital Humanities,Modernism,,15,25,19,20,31,32,28,41,20,50,44,67,66,74,97,120,115,108,150,181,181,223,238
John Stephen Downie,fJLNqvIAAAAJ,Music information retrieval,digital humanities,e-science,library science,information science,,,,,,,,,,,19,46,85,112,114,158,181,262,232,337,347,335,398
Roberto Theron (https://orcid.org/0000-0001-6739-8875),SdkXXMAAAAAJ,Data visualization,Visual Analytics,Human-Computer Interaction,Bioinformatics,Digital Humanities,,,,,,,,,,,,,,,,,,42,42,86,109,186,203
Massimiliano Corsini,jU8HCCkAAAAJ,computer graphics,computer vision,artificial intelligence,multimedia,digital humanities,,,,,,,,,,,,,,,27,28,38,57,85,134,127,198,213
Tomaž Erjavec,heGupqYAAAAJ,Language Technologies,Language Resources,Digital Humanities,,,,,,,,,,29,49,60,43,75,70,114,89,179,163,239,251,249,230,387,272
Franciska de Jong,qCOtRT8AAAAJ,language technology,information retrieval,digital humanities,machine translation,spoken document retrieval,,,,,19,18,23,41,25,41,44,50,80,61,59,74,75,116,122,157,128,244,203
Tsvi Kuflik,pHGEoJEAAAAJ,Digital Humanities,Advanced technology for Cultural Heritage,User Modeling,Intelligent User Interfaces,Smart environments,,,,,,,,,,,,,,36,55,52,103,131,169,182,228,274,290
Rens Bod,LRKlkaAAAAAJ,History of Humanities,History of Knowledge,History of Science,Digital Humanities,Computational Linguistics,,,,,23,39,52,38,85,101,103,135,203,131,205,253,240,228,217,235,233,235,315
Alexandra  I Cristea,jQMxCKYAAAAJ,Learning Analytics,User Modelling,Web Science,Artificial Intelligence in Education,Digital Humanities,,,,,,,,,,19,31,62,109,162,192,324,239,270,314,297,188,246,288
Kostas Karpouzis,12olpHgAAAAJ,Digital Humanities,Serious Games,Affective computing,Human-computer interaction,Machine Learning,,,,,,,,,,,,,24,28,59,83,120,145,228,266,320,329,386
Emanuele Frontoni,Vgi8nAcAAAAJ,artificial intelligence,computer vision,robotics,remote sensing,digital humanities,,,,,,,,,,,,,,,,14,23,23,32,59,55,80,101
Richard Furuta,vygtLDcAAAAJ,Digital Libraries,Digital Humanities,HCI,,,112,103,180,175,189,148,182,175,173,191,198,234,212,214,212,177,200,152,153,130,160,166,141
Mathieu Aubry,0MiPsosAAAAJ,computer vision,machine learning,digital humanities,,,,,,,,,,,,,,,,,,,,,,,,25,48
Michele Coscia,3p_bhfUAAAAJ,Complex Networks,Digital Humanities,Human Mobility,Economic Development,Memetics,,,,,,,,,,,,,,,,,,,,,18,118,198
Todd Presner,SkuWmdYAAAAJ,Digital Humanities,German-Jewish culture,digital mapping,GIS,,,,,,,,,,,,,,,23,35,50,78,77,95,106,129,170,221
Thomas Hegghammer,8khoUBcAAAAJ,Political Violence,Middle East,Digital Humanities,,,,,,,,,,,,,,,,,,31,51,69,90,96,151,153,173
Tim Weyrich,pUB0nnwhGVAC,appearance modelling,point-based graphics,3D reconstruction,cultural heritage acquisition,digital humanities,,,,,,,,,,,,,,,25,67,70,110,132,176,222,238,276
Peter Lunenfeld,GNCyVj0AAAAJ,Media philosophy,new media,art and design criticism,digital humanities,urban humanities,,,,,,,,,,,30,70,73,87,102,146,169,187,173,193,197,209,257
David M. Berry,22sLFVoAAAAJ,Digital Humanities,Software Studies,Critical Theory,Media Theory,Critical University Studies,,,,,,,,,,,,,,,15,23,30,33,46,44,95,181,217
Jill Walker Rettberg,wtk_Bc7v6EAJ,machine vision,digital narrative,social media narrative,algorithmic culture,digital humanities,,,,,,,,,,,,,45,51,75,99,111,145,168,209,210,252,231
Jacco van Ossenbruggen,BqsB3xIAAAAJ,data science,cultural AI,civic AI,digital humanities,tool criticism,,,,,,,19,36,78,78,144,116,192,173,214,167,214,237,266,270,253,206,207
Timo Honkela,JxUN_ggAAAAJ,language technology,text mining,digital humanities,socio-cognitive modeling,language philosophy,,,,,,31,73,130,146,145,131,145,176,190,178,156,163,175,179,200,143,250,215
Matthew Kirschenbaum,YV-jMbMAAAAJ,Media studies,book history,contemporary literature,games,digital humanities,,,,,,,,,,,,,,,,19,14,36,43,47,119,201,252
Melissa Terras,nKl6E7EAAAAJ,Digital Humanities,,,,,,,,,,,,,,,,,,,,12,13,25,42,64,90,154,152
David Bamman,RkA1y54AAAAJ,Natural Language Processing,Machine Learning,Digital Humanities,Computational Social Science,,,,,,,,,,,,,,,,,,15,36,39,69,61,65,110
Jieh Hsiang,Rxg0ObMAAAAJ,Automated deduction,Digital Libraries,Digital Humanities,,,127,80,65,84,93,101,94,113,91,60,107,67,116,94,158,93,175,127,129,133,89,98,149
Alan Y. Liu,XvwdTTsAAAAJ,Digital Humanities,Romantic literary studies,,,,21,30,38,37,34,45,51,55,49,40,54,82,39,47,68,72,84,92,130,134,124,152,210
Vince Gaffney,TTyOLccAAAAJ,Archaeology,Landscape,Digital Humanities,,,20,8,12,10,12,24,26,34,45,66,52,53,78,86,85,115,111,106,91,116,116,155,230
José Antonio Cordón García,ll7MlugAAAAJ,Electronic Publishing,Digital Reading,Information Research,Digital Humanities,,,,,,,,,,,,,10,13,26,39,31,32,41,46,117,141,199,215
Galina Mozhaeva,c7Z0JcgAAAAJ,Continuing education,advanced learning technologies,e-learning,teacher training,Digital Humanities.,,,,,,,,,,,,20,33,48,32,49,56,67,91,132,135,109,140
Malvina Nissim,hnTpEOAAAAAJ,Computational Linguistics,Language Technology,Natural Language Processing,Linguistics,Digital Humanities,,,,,,,,,,,,,15,37,90,113,141,159,134,131,102,109,142
Emanuele Pianta,nDdTKQMAAAAJ,Human Language Technologies,Computational Lingustics,Language Resources,Digital Humanities,,,,,,,,,,24,23,14,37,57,99,96,121,108,157,184,196,198,287,260
